0019.ini,BulgariaSat 1
0030.ini,Eutelsat 3B / Rascom QAF 1R
0049.ini,Astra 4A / SES 5
0070.ini,Eutelsat 7A/7B
0090.ini,Eutelsat 9B
0100.ini,Eutelsat 10A
0130.ini,Eutelsat Hot Bird 13B/13C/13E
0160.ini,Eutelsat 16A
0192.ini,Astra 1KR/1L/1M/1N
0200.ini,Arabsat 5C
0215.ini,Eutelsat 21B
0235.ini,Astra 3B
0255.ini,Es'hail 1
0260.ini,Es'hail 2 / Badr 4/5/6/7
0282.ini,Astra 2E/2F/2G
0305.ini,Arabsat 5A
0308.ini,Eutelsat 31A
0310.ini,Turksat 5A
0315.ini,Astra 5B
0330.ini,Intelsat 28 / Eutelsat 33E
0360.ini,Express AMU1 / Eutelsat 36B
0380.ini,Paksat 1R
0390.ini,Hellas Sat 3 / Hellas Sat 4
0400.ini,Express AM7
0420.ini,Turksat 3A/4A
0425.ini,NigComSat 1R
0450.ini,AzerSpace 2 / Intelsat 38
0460.ini,AzerSpace 1 / Africasat 1a
0475.ini,Intelsat 10
0490.ini,Yamal 601
0500.ini,Turksat 4B
0505.ini,NSS5
0515.ini,Belintersat 1
0520.ini,TurkmenAlem/MonacoSat
0525.ini,Al Yah 1
0530.ini,Express AM6
0550.ini,G-Sat 8 / G-Sat 16 / Yamal 402
0560.ini,Express AT1
0570.ini,NSS12
0585.ini,KazSat 3
0600.ini,Intelsat 33e
0620.ini,Intelsat 39
0642.ini,Intelsat 906
0650.ini,Amos 4
0660.ini,Intelsat 17
0685.ini,Intelsat 20/36
0705.ini,Eutelsat 70B
0721.ini,Intelsat 22
0740.ini,G-Sat 18
0750.ini,ABS 2 / ABS 2A
0765.ini,Apstar 7
0785.ini,Thaicom 5/6/8
0830.ini,Insat 4B / G-Sat 10/31
0850.ini,Intelsat 15 / Horizons 2
0865.ini,KazSat 2
0875.ini,ChinaSat 12
0880.ini,ST 2
0900.ini,Yamal 401
0915.ini,Measat 3 / 3a / 3b
0922.ini,ChinaSat 9
0935.ini,G-Sat 15 / G-Sat 17
0950.ini,SES 8
0965.ini,Express AM33
0973.ini,G-Sat 9
0980.ini,ChinaSat 11
1005.ini,AsiaSat 5
1030.ini,Express AM3
1055.ini,AsiaSat 7
1082.ini,Telkom 1 / SES 7/9
1100.ini,BSAT 3C/JCSAT 110R / BSAT 3A / JCSAT 15
1105.ini,ChinaSat 10
1130.ini,Koreasat 5 / Koreasat 5A / Palapa D
1155.ini,Chinasat 6B
1160.ini,ABS 7 / Koreasat 6/7
1180.ini,Telkom 3S
1193.ini,Thaicom 4 / Bangabandhu 1
1200.ini,AsiaSat 6 / Thaicom 7
1220.ini,AsiaSat 9
1240.ini,JCSAT 4B
1250.ini,ChinaSat 6A
1280.ini,JCSAT 3A
1285.ini,LaoSat 1
1320.ini,JCSAT 5A / Vinasat 1/2
1340.ini,Apstar 6C
1380.ini,Telstar 18 Vantage
1400.ini,Express AM5 / Express AT2
1420.ini,Apstar 9
1440.ini,Superbird C2
1460.ini,Nusantara Satu
1505.ini,BRIsat
1520.ini,Optus D2
1540.ini,JCSAT 2B
1560.ini,Optus 10 / Optus D3
1590.ini,ABS 6
1600.ini,Optus D1
1620.ini,Superbird B3
1660.ini,Intelsat 19
1690.ini,Horizons 3e
1720.ini,Eutelsat 172B
1800.ini,Intelsat 18
1830.ini,NSS 9
2210.ini,AMC 8
2270.ini,Galaxy 15
2290.ini,AMC 11
2310.ini,Ciel 2
2330.ini,Galaxy 13 / Horizons 1
2350.ini,Galaxy 14 / AMC 21
2370.ini,Galaxy 18
2390.ini,EchoStar 9 / Galaxy 23
2410.ini,Anik F3 / EchoStar 14 / DirecTV 7S
2430.ini,Eutelsat 117 West A / B
2451.ini,Eutelsat 115 West B
2470.ini,Eutelsat 113 West A
2489.ini,Anik F2
2500.ini,DirecTV 5 / EchoStar 10/11
2527.ini,Anik F1R / Anik G1
2550.ini,AMC 15 / EchoStar 105/SES 11
2570.ini,SES3 / DirecTV 10/12
2590.ini,SES1 / DirecTV 8
2608.ini,Galaxy 16 / DirecTV 11/14
2630.ini,Galaxy 19
2650.ini,Galaxy 3C / Intelsat 30/31
2669.ini,Galaxy 25
2690.ini,Galaxy 17 / Nimiq 6
2710.ini,Galaxy 28
2729.ini,SES2 / TKSat 1
2760.ini,Star One D1
2780.ini,Nimiq 4
2790.ini,Arsat 2
2812.ini,Sky Mexico 1
2820.ini,Simon Bolivar
2830.ini,QuetzSat 1
2850.ini,Star One C3
2873.ini,Nimiq 5
2882.ini,Arsat 1
2900.ini,Star One C2 / C4
2930.ini,SES 10
2950.ini,Star One C1 / Eutelsat 65 West A
2970.ini,Telstar 14R
2985.ini,EchoStar 16
2990.ini,Amazonas 2 / 3 / 5
3020.ini,Intelsat 21
3045.ini,Intelsat 34
3070.ini,Intelsat 23
3125.ini,SES 14
3150.ini,Intelsat 14
3169.ini,Intelsat 11 / Sky Brasil 1
3195.ini,SES 6
3225.ini,NSS10 / Telstar 11N
3235.ini,Eutelsat 48D
3240.ini,Eutelsat 36 West A
3255.ini,Intelsat 35e
3285.ini,Intelsat 25
3300.ini,Hispasat 30W-4 / 30W-5
3325.ini,Intelsat 907
3355.ini,Intelsat 905 / Alcomsat 1
3380.ini,SES 4
3400.ini,NSS 7
3420.ini,Intelsat 37e
3450.ini,Telstar 12 Vantage
3460.ini,Express AM8
3475.ini,Eutelsat 12 West B
3480.ini,Eutelsat 10A
3490.ini,Express AM44
3509.ini,Eutelsat 5 West A
3520.ini,Eutelsat 8 West B
3530.ini,Eutelsat 7 West A / Nilesat 201
3550.ini,Eutelsat 5 West A
3560.ini,Amos 3 / Amos 7
3570.ini,ABS 3A
3592.ini,Intelsat 10-02 / Thor 5/6/7
3594.ini,Astra 2B
